Distance_km,Package_Weight_kg,Traffic_Index,Weather_Delay,Vehicle_Type,Priority,Warehouse_Load,Day_of_Week,Driver_Experience_Years,Delivery_Time_Hours
388.11,1.64,0.801,0,Truck,Standard,0.355,Mon,3.22,10.44
222.24,15.28,0.884,0,Van,Express,0.309,Wed,2.45,6.15
430.01,2.72,0.356,0,Van,Standard,0.814,Thu,11.29,9.99
350.2,1.39,0.593,0,Van,Standard,0.504,Mon,7.3,8.33
51.62,3.42,0.314,0,Bike,Standard,0.352,Tue,1.17,2.4
487.93,3.51,0.101,0,Truck,Standard,0.83,Fri,14.77,12.05
381.76,2.01,0.751,0,Bike,Standard,0.117,Tue,10.23,10.57
394.1,4.83,0.212,0,Bike,Standard,0.257,Fri,12.74,10.8
68.42,1.16,0.454,0,Van,Standard,0.844,Thu,6.85,2.32
227.94,1.95,0.513,0,Bike,Standard,0.596,Wed,14.35,6.7
188.55,3.7,0.225,1,Bike,Express,0.796,Mon,3.39,6.03
463.75,2.93,0.14,0,Truck,Express,0.854,Wed,3.18,11.56
323.71,5.67,0.381,0,Van,Express,0.948,Thu,13.41,7.21
412.27,9.68,0.955,0,Bike,Standard,0.157,Fri,13.43,12.05
224.49,3.08,0.634,0,Van,Standard,0.819,Tue,7.74,5.86
117.48,11.9,0.412,1,Van,Standard,0.738,Mon,2.32,4.79
279.52,1.28,0.087,0,Bike,Standard,0.286,Sun,4.93,7.97
36.59,9.44,0.62,0,Bike,Standard,0.939,Sun,11.44,2.4
414.68,1.16,0.138,0,Van,Express,0.464,Sun,12.77,8.49
317.67,5.0,0.565,0,Van,Standard,0.899,Wed,5.54,8.03
380.25,2.22,0.764,0,Truck,Standard,0.645,Fri,1.39,10.55
180.49,2.11,0.452,0,Van,Express,0.574,Mon,10.15,4.32
485.5,14.08,0.334,0,Bike,Standard,0.244,Sun,11.22,13.35
447.09,6.72,0.095,0,Van,Standard,0.923,Mon,6.65,10.23
390.3,3.25,0.074,1,Van,Express,0.601,Thu,8.95,9.27
101.35,0.2,0.459,0,Bike,Standard,0.105,Sat,14.82,2.94
236.03,0.65,0.889,0,Van,Standard,0.116,Sat,4.05,6.36
26.68,1.33,0.282,0,Bike,Standard,0.8,Sun,8.81,1.36
81.37,3.61,0.595,0,Truck,Express,0.246,Thu,9.36,2.32
343.11,4.97,0.7,1,Truck,Standard,0.639,Mon,8.46,10.4
373.66,1.77,0.108,0,Van,Standard,0.713,Mon,13.1,8.08
483.92,6.1,0.195,0,Truck,Standard,0.351,Tue,9.27,11.68
166.28,5.48,0.365,1,Truck,Standard,0.612,Mon,7.86,5.6
188.38,2.42,0.687,0,Bike,Express,0.316,Thu,2.28,6.12
237.43,1.34,0.467,0,Van,Standard,0.952,Mon,10.7,5.97
98.79,0.32,0.747,0,Van,Standard,0.874,Tue,2.42,3.64
69.31,4.7,0.874,0,Bike,Standard,0.359,Wed,0.89,2.95
240.47,3.81,0.77,0,Van,Standard,0.576,Sat,7.58,6.39
117.32,5.69,0.993,0,Bike,Standard,0.551,Fri,8.8,4.79
336.56,8.42,0.767,1,Truck,Standard,0.964,Mon,14.99,9.87
221.39,10.48,0.86,0,Van,Standard,0.455,Sun,10.83,6.03
417.18,7.38,0.841,0,Van,Standard,0.606,Thu,12.8,10.09
351.63,2.72,0.744,0,Van,Express,0.936,Wed,5.52,8.48
159.62,3.28,0.812,0,Bike,Express,0.247,Wed,7.88,5.19
416.97,7.05,0.938,1,Truck,Standard,0.595,Sat,14.63,12.26
403.36,1.95,0.501,0,Bike,Standard,0.195,Thu,6.55,11.23
196.8,2.08,0.656,0,Bike,Standard,0.656,Tue,12.21,6.07
147.72,6.27,0.539,0,Van,Standard,0.429,Wed,8.13,3.94
342.84,10.79,0.858,0,Van,Standard,0.971,Mon,3.75,9.23
74.18,7.18,0.46,1,Van,Express,0.474,Tue,8.92,2.36
103.95,6.36,0.829,0,Bike,Standard,0.223,Wed,3.66,4.13
8.64,3.6,0.809,0,Van,Standard,0.851,Tue,0.54,1.79
394.53,1.88,0.964,0,Bike,Express,0.839,Wed,3.92,12.12
334.1,5.81,0.286,0,Bike,Standard,0.725,Mon,3.3,9.63
354.06,9.7,0.724,0,Van,Standard,0.774,Fri,5.88,8.77
391.46,2.8,0.769,0,Bike,Standard,0.338,Mon,13.38,11.55
232.16,2.28,0.939,0,Bike,Standard,0.678,Tue,6.12,7.54
286.53,2.32,0.912,0,Van,Express,0.134,Sun,12.76,6.95
74.2,4.82,0.595,0,Van,Standard,0.277,Mon,8.56,2.68
61.69,8.04,0.6,0,Bike,Standard,0.939,Tue,0.61,3.29
335.86,0.49,0.209,0,Van,Standard,0.765,Thu,3.24,7.59
238.19,3.9,0.976,0,Bike,Express,0.308,Wed,14.0,7.16
284.79,1.16,0.292,0,Truck,Standard,0.2,Wed,9.26,7.01
383.67,12.32,0.738,0,Bike,Standard,0.954,Mon,13.98,11.61
319.19,4.22,0.806,0,Bike,Standard,0.201,Wed,5.0,9.61
279.02,2.76,0.469,0,Van,Express,0.331,Sat,10.89,6.0
281.81,4.48,0.251,1,Bike,Standard,0.264,Fri,11.69,8.86
155.46,0.87,0.23,0,Bike,Standard,0.107,Sun,14.65,4.05
20.25,1.38,0.864,0,Bike,Express,0.383,Fri,0.76,1.76
221.18,3.88,0.535,1,Van,Standard,0.977,Sat,14.31,7.29
111.22,6.2,0.136,0,Van,Standard,0.408,Thu,6.18,2.69
207.22,0.23,0.731,0,Van,Standard,0.554,Fri,12.65,5.19
427.43,8.22,0.288,0,Van,Standard,0.771,Fri,8.4,9.59
120.8,2.86,0.883,0,Van,Standard,0.596,Sat,8.69,4.1
33.86,6.39,0.344,0,Truck,Standard,0.769,Thu,5.71,1.77
144.29,4.95,0.24,0,Van,Standard,0.695,Wed,12.51,3.49
150.33,11.33,0.131,0,Truck,Standard,0.648,Mon,4.33,4.35
332.65,4.86,0.536,0,Van,Standard,0.685,Sun,7.64,7.84
280.73,8.02,0.478,0,Van,Express,0.819,Thu,8.62,6.8
393.03,2.4,0.764,1,Bike,Standard,0.739,Sat,11.27,12.63
333.84,0.88,0.491,0,Van,Standard,0.813,Fri,7.34,8.09
206.16,7.05,0.377,0,Bike,Standard,0.231,Mon,10.36,5.93
407.94,0.86,0.299,1,Van,Standard,0.71,Fri,7.54,9.75
87.65,6.15,0.314,0,Bike,Standard,0.763,Thu,10.06,2.89
16.24,1.5,0.931,0,Bike,Standard,0.37,Tue,10.28,1.9
49.57,4.52,0.207,0,Truck,Standard,0.887,Tue,10.79,2.09
362.57,11.47,0.989,0,Van,Standard,0.374,Fri,12.44,9.02
233.63,5.84,0.361,0,Van,Express,0.319,Mon,8.34,5.49
84.83,3.18,0.134,0,Van,Express,0.88,Fri,3.3,2.47
253.02,5.03,0.286,0,Van,Express,0.322,Sat,10.35,5.68
80.39,2.47,0.105,0,Truck,Standard,0.474,Mon,1.62,2.6
349.68,14.27,0.801,0,Van,Standard,0.431,Mon,3.67,8.76
