Shipment_ID,Date,Origin,Destination,Transport_Mode,Shipment_Volume_m3,Weight_kg,Distance_km,Expected_Time_days,Delivery_Time_days,Delay_days,Transportation_Cost,Fuel_Cost,Handling_Cost,Total_Cost,Customer_Rating,Delivery_Status
SHP0001,2026-05-03,Kolkata,Pune,Road,5.85,211.1,966.0,3.14,3.64,0.98,7039.89,2046.68,165.82,9252.39,4.55,Delayed
SHP0002,2026-03-28,Chennai,Hyderabad,Sea,5.58,351.8,236.5,4.26,5.68,1.0,1198.98,247.75,233.55,1680.28,4.24,Delayed
SHP0003,2026-06-28,Bengaluru,Bengaluru,Rail,14.0,611.3,740.6,3.39,5.9,2.26,7427.22,1713.17,381.24,9521.63,4.13,Delayed
SHP0004,2026-05-11,Delhi,Jaipur,Rail,25.39,1082.5,694.0,3.32,3.76,0.0,10025.13,2324.97,579.25,12929.36,4.93,On Time
SHP0005,2026-02-11,Bengaluru,Jaipur,Road,8.89,409.5,667.7,2.68,2.96,0.0,6401.87,2430.97,272.49,9105.32,4.72,On Time
SHP0006,2026-04-08,Delhi,Ahmedabad,Road,6.88,512.4,1275.5,3.61,4.33,0.0,15853.01,4783.08,233.51,20869.59,5.0,On Time
SHP0007,2026-06-09,Mumbai,Lucknow,Road,3.14,137.4,807.8,2.89,3.09,0.0,4974.7,1742.87,194.03,6911.6,5.0,On Time
SHP0008,2026-04-19,Delhi,Hyderabad,Air,6.58,504.9,1698.9,3.29,5.92,2.69,46638.43,13026.52,237.36,59902.31,3.64,Delayed
SHP0009,2026-02-20,Kolkata,Lucknow,Rail,20.0,928.4,340.7,2.77,4.99,2.1,4300.75,1153.49,490.95,5945.19,3.72,Delayed
SHP0010,2026-03-26,Chennai,Ahmedabad,Rail,5.02,210.6,710.0,3.34,4.65,0.87,4146.06,851.4,217.86,5215.32,3.99,Delayed
SHP0011,2026-06-23,Mumbai,Jaipur,Road,3.75,244.0,686.7,2.71,4.45,2.02,5575.67,1880.71,226.85,7683.22,3.81,Delayed
SHP0012,2026-05-07,Delhi,Lucknow,Sea,14.0,549.9,324.4,4.4,4.85,0.68,2042.72,449.07,395.75,2887.54,4.71,Delayed
SHP0013,2026-01-21,Bengaluru,Lucknow,Air,4.36,349.2,1210.2,2.54,2.88,0.45,25186.73,7352.18,205.23,32744.14,4.61,On Time
SHP0014,2026-02-13,Mumbai,Jaipur,Road,2.11,82.8,2945.4,6.18,6.71,1.27,18850.39,4624.67,211.15,23686.22,3.72,Delayed
